accuracy: 0.9295290478
perword likelihood1: -22.5847962971
perword likelihood2: -21.1614986337
25	25
2	2
2	2
8	8
25	25
2	2
12	12
2	2
13	13
15	15
26	26
19	19
2	2
8	8
2	2
8	8
13	13
8	8
17	17
21	21
21	21
8	8
21	21
12	12
17	17
26	26
2	2
24	24
6	6
14	14
8	8
7	7
12	12
4	4
2	7
26	26
2	2
13	13
8	8
7	7
6	6
13	13
26	26
6	6
2	2
17	17
2	2
1	1
6	6
13	13
17	17
12	12
7	7
3	3
17	17
24	24
21	21
6	6
21	21
21	21
2	2
6	6
19	19
14	14
6	6
6	6
7	7
17	17
13	13
6	6
1	1
6	6
20	20
2	2
6	6
13	13
6	6
8	8
2	2
2	2
17	17
21	21
21	21
14	14
12	12
17	17
6	6
8	8
13	13
13	13
3	3
12	12
8	8
1	1
9	9
1	1
14	14
17	17
2	2
6	6
26	26
8	8
8	8
2	2
19	19
10	10
6	6
3	3
13	13
13	13
2	2
13	13
20	20
24	24
8	8
20	20
2	2
26	26
6	6
2	2
2	2
24	24
26	26
11	11
9	9
20	20
23	23
8	8
26	14
26	26
2	2
21	21
3	3
8	8
6	6
21	21
26	26
1	1
8	8
2	2
13	13
26	6
26	26
8	8
17	17
8	8
17	17
13	13
26	26
8	8
25	25
6	6
12	12
8	8
26	26
12	12
13	13
8	8
21	21
25	25
13	13
12	12
2	2
21	21
24	24
13	13
26	1
8	8
12	11
3	2
21	21
2	2
3	3
21	21
26	5
12	12
8	8
8	8
2	2
1	1
13	13
6	6
3	3
26	26
15	15
16	16
19	19
8	8
26	26
13	13
26	1
24	6
26	26
1	1
13	13
2	2
1	1
8	8
26	26
8	8
8	8
2	2
26	26
8	8
20	20
10	10
8	8
8	8
26	26
12	12
24	24
6	6
20	20
9	2
6	6
13	13
23	26
6	6
8	8
26	26
8	8
7	7
26	6
19	19
23	6
1	1
26	26
26	26
24	24
8	8
12	12
2	2
12	12
21	21
6	6
13	13
19	19
13	13
2	2
21	21
8	8
