Reading training examples...trvec.txt: No such file or directory
product_model: No such file or directory
Reading training examples... (13946 examples) done
Training set properties: 224563 features, 28 classes
Iter 79: *(NumConst=62, SV=24, CEps=0.7307, QPEps=0.3619)
Iter 80: *(NumConst=62, SV=23, CEps=0.7347, QPEps=0.3393)
Iter 81: *(NumConst=63, SV=24, CEps=0.7774, QPEps=0.3602)
Iter 82: *(NumConst=64, SV=24, CEps=0.5846, QPEps=0.2685)
Iter 83: *(NumConst=64, SV=24, CEps=0.6721, QPEps=0.2491)
Iter 84: *(NumConst=63, SV=24, CEps=0.6306, QPEps=0.2267)
Iter 85: *(NumConst=63, SV=25, CEps=0.5021, QPEps=0.2278)
Iter 86: *(NumConst=61, SV=25, CEps=0.4826, QPEps=0.2400)
Iter 87: *(NumConst=61, SV=26, CEps=0.4360, QPEps=0.2116)
Iter 88: *(NumConst=61, SV=26, CEps=0.5212, QPEps=0.2092)
Iter 89: *(NumConst=60, SV=27, CEps=0.4391, QPEps=0.1615)
Iter 90: *(NumConst=60, SV=28, CEps=0.5083, QPEps=0.2000)
Iter 91: *(NumConst=61, SV=29, CEps=0.4721, QPEps=0.1911)
Iter 92: *(NumConst=61, SV=28, CEps=0.3463, QPEps=0.1628)
Iter 93: *(NumConst=62, SV=28, CEps=0.4756, QPEps=0.1700)
Iter 94: *(NumConst=62, SV=29, CEps=0.3705, QPEps=0.1520)
Iter 95: *(NumConst=62, SV=30, CEps=0.3664, QPEps=0.1580)
Iter 96: *(NumConst=63, SV=30, CEps=0.3675, QPEps=0.1471)
Iter 97: *(NumConst=64, SV=31, CEps=0.3337, QPEps=0.1607)
Iter 98: *(NumConst=64, SV=32, CEps=0.3211, QPEps=0.1534)
Iter 99: .........*(NumConst=65, SV=33, CEps=0.9729, QPEps=0.4476)
Iter 100: *(NumConst=64, SV=34, CEps=1.0860, QPEps=0.3859)
Iter 101: *(NumConst=65, SV=33, CEps=0.7080, QPEps=0.2750)
Iter 102: *(NumConst=66, SV=34, CEps=0.6990, QPEps=0.2526)
Iter 103: *(NumConst=67, SV=34, CEps=0.5101, QPEps=0.2442)
Iter 104: *(NumConst=67, SV=35, CEps=0.5028, QPEps=0.2317)
Iter 105: *(NumConst=68, SV=36, CEps=0.4343, QPEps=0.2093)
Iter 106: *(NumConst=68, SV=37, CEps=0.4529, QPEps=0.1640)
Iter 107: *(NumConst=67, SV=36, CEps=0.3963, QPEps=0.1394)
Iter 108: *(NumConst=68, SV=37, CEps=0.3888, QPEps=0.1820)
Iter 109: *(NumConst=69, SV=38, CEps=0.3731, QPEps=0.1478)
Iter 110: *(NumConst=69, SV=38, CEps=0.3244, QPEps=0.1310)
Iter 111: *(NumConst=69, SV=39, CEps=0.2721, QPEps=0.1231)
Iter 112: *(NumConst=70, SV=40, CEps=0.3020, QPEps=0.1061)
Iter 113: *(NumConst=71, SV=39, CEps=0.2834, QPEps=0.1196)
Iter 114: *(NumConst=71, SV=39, CEps=0.2899, QPEps=0.1268)
Iter 115: *(NumConst=71, SV=39, CEps=0.1941, QPEps=0.0876)
Iter 116: *(NumConst=70, SV=39, CEps=0.2186, QPEps=0.0750)
Iter 117: *(NumConst=71, SV=40, CEps=0.2301, QPEps=0.0867)
Iter 118: *(NumConst=71, SV=41, CEps=0.1976, QPEps=0.0826)
Iter 119: *(NumConst=71, SV=42, CEps=0.1530, QPEps=0.0708)
Iter 120: *(NumConst=72, SV=43, CEps=0.2124, QPEps=0.0686)
Iter 121: *(NumConst=73, SV=44, CEps=0.1571, QPEps=0.0750)
Iter 122: *(NumConst=73, SV=45, CEps=0.1363, QPEps=0.0662)
Iter 123: *(NumConst=73, SV=45, CEps=0.1434, QPEps=0.0619)
Iter 124: *(NumConst=73, SV=46, CEps=0.1368, QPEps=0.0602)
Iter 125: *(NumConst=74, SV=46, CEps=0.1351, QPEps=0.0634)
Iter 126: *(NumConst=73, SV=47, CEps=0.1213, QPEps=0.0566)
Iter 127: *(NumConst=73, SV=48, CEps=0.1103, QPEps=0.0540)
Iter 128: *(NumConst=74, SV=49, CEps=0.1489, QPEps=0.0503)
Iter 129: *(NumConst=74, SV=50, CEps=0.1277, QPEps=0.0426)
Iter 130: *(NumConst=75, SV=51, CEps=0.1251, QPEps=0.0522)
Iter 131: .........*(NumConst=75, SV=52, CEps=0.4291, QPEps=0.1559)
Iter 132: *(NumConst=74, SV=53, CEps=0.5417, QPEps=0.2102)
Iter 133: *(NumConst=74, SV=54, CEps=0.4542, QPEps=0.1763)
Iter 134: *(NumConst=74, SV=55, CEps=0.3740, QPEps=0.1564)
Iter 135: *(NumConst=74, SV=56, CEps=0.3299, QPEps=0.1568)
Iter 136: *(NumConst=75, SV=57, CEps=0.2577, QPEps=0.1142)
Iter 137: *(NumConst=75, SV=58, CEps=0.2587, QPEps=0.1199)
Iter 138: *(NumConst=76, SV=59, CEps=0.2136, QPEps=0.1007)
Iter 139: *(NumConst=77, SV=60, CEps=0.1948, QPEps=0.0969)
Iter 140: *(NumConst=78, SV=60, CEps=0.1563, QPEps=0.0714)
Iter 141: *(NumConst=77, SV=60, CEps=0.1539, QPEps=0.0748)
Iter 142: *(NumConst=77, SV=61, CEps=0.1349, QPEps=0.0623)
Iter 143: *(NumConst=78, SV=61, CEps=0.1385, QPEps=0.0649)
Iter 144: *(NumConst=79, SV=62, CEps=0.1432, QPEps=0.0615)
Iter 145: *(NumConst=79, SV=61, CEps=0.1146, QPEps=0.0468)
Iter 146: .........*(NumConst=80, SV=62, CEps=0.2715, QPEps=0.1258)
Iter 147: *(NumConst=81, SV=61, CEps=0.3275, QPEps=0.1139)
Iter 148: *(NumConst=82, SV=62, CEps=0.2500, QPEps=0.1142)
Iter 149: *(NumConst=83, SV=63, CEps=0.2236, QPEps=0.0900)
Iter 150: *(NumConst=82, SV=64, CEps=0.1927, QPEps=0.0757)
Iter 151: *(NumConst=83, SV=64, CEps=0.1833, QPEps=0.0881)
Iter 152: *(NumConst=83, SV=65, CEps=0.1630, QPEps=0.0767)
Iter 153: *(NumConst=84, SV=65, CEps=0.1580, QPEps=0.0580)
Iter 154: *(NumConst=85, SV=65, CEps=0.1376, QPEps=0.0634)
Iter 155: *(NumConst=86, SV=64, CEps=0.1219, QPEps=0.0494)
Iter 156: *(NumConst=85, SV=64, CEps=0.1208, QPEps=0.0531)
Iter 157: *(NumConst=86, SV=65, CEps=0.1015, QPEps=0.0499)
Iter 158: .........*(NumConst=87, SV=66, CEps=0.2028, QPEps=0.0906)
Iter 159: *(NumConst=87, SV=67, CEps=0.2409, QPEps=0.0985)
Iter 160: *(NumConst=88, SV=68, CEps=0.1761, QPEps=0.0877)
Iter 161: *(NumConst=89, SV=69, CEps=0.1654, QPEps=0.0797)
Iter 162: *(NumConst=88, SV=70, CEps=0.1581, QPEps=0.0714)
Iter 163: *(NumConst=88, SV=71, CEps=0.1430, QPEps=0.0686)
Iter 164: *(NumConst=88, SV=71, CEps=0.1195, QPEps=0.0596)
Iter 165: *(NumConst=88, SV=71, CEps=0.1200, QPEps=0.0475)
Iter 166: *(NumConst=89, SV=72, CEps=0.1125, QPEps=0.0489)
Iter 167: .........*(NumConst=90, SV=73, CEps=0.1567, QPEps=0.0748)
Iter 168: *(NumConst=91, SV=74, CEps=0.1898, QPEps=0.0721)
Iter 169: *(NumConst=92, SV=75, CEps=0.1410, QPEps=0.0629)
Iter 170: *(NumConst=93, SV=76, CEps=0.1362, QPEps=0.0658)
Iter 171: *(NumConst=94, SV=77, CEps=0.1222, QPEps=0.0592)
Iter 172: *(NumConst=94, SV=78, CEps=0.1156, QPEps=0.0531)
Iter 173: *(NumConst=95, SV=79, CEps=0.1145, QPEps=0.0566)
Iter 174: .........*(NumConst=95, SV=79, CEps=0.1379, QPEps=0.0637)
Iter 175: *(NumConst=96, SV=80, CEps=0.1400, QPEps=0.0641)
Iter 176: *(NumConst=97, SV=81, CEps=0.1361, QPEps=0.0671)
Iter 177: *(NumConst=98, SV=81, CEps=0.1180, QPEps=0.0462)
Iter 178: .........*(NumConst=99, SV=82, CEps=0.1153, QPEps=0.0562)
Iter 179: *(NumConst=100, SV=82, CEps=0.1179, QPEps=0.0513)
Iter 180: *(NumConst=101, SV=83, CEps=0.1153, QPEps=0.0528)
Iter 181: .........*(NumConst=102, SV=84, CEps=0.1086, QPEps=0.0497)
Iter 182: *(NumConst=103, SV=85, CEps=0.1112, QPEps=0.0491)
Iter 183: *(NumConst=104, SV=85, CEps=0.1003, QPEps=0.0451)
Iter 184: .........(NumConst=104, SV=85, CEps=0.0974, QPEps=0.0451)
Final epsilon on KKT-Conditions: 0.09744
Upper bound on duality gap: 491.72299
Dual objective value: dval=115964.74800
Primal objective value: pval=116456.47099
Total number of constraints in final working set: 104 (of 183)
Number of iterations: 184
Number of calls to 'find_most_violated_constraint': 195244
Number of SV: 85 
Norm of weight vector: |w|=292.96736
Value of slack variable (on working set): xi=14.63953
Value of slack variable (global): xi=14.70831
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.16519
Runtime in cpu-seconds: 49.44
Final number of constraints in cache: 53494
Compacting linear model...done
Writing learned model...done
Reading model...done.
Reading test examples... (5905 examples) done.
Classifying test examples...done
Runtime (without IO) in cpu-seconds: 0.15
Average loss on test set: 9.5682
Zero/one-error on test set: 9.57% (5340 correct, 565 incorrect, 5905 total)
