setup (K: 80; C: 37.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.832
setup (K: 80; C: 37.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.824
setup (K: 80; C: 37.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.873
setup (K: 80; C: 41.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.789
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.885
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.825
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.855
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.824
setup (K: 70; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.834
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.811
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.862
setup (K: 70; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.871
setup (K: 60; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.859
setup (K: 70; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.851
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.863
setup (K: 100; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.874
setup (K: 120; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.876
setup (K: 200; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.868
setup (K: 80; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.914
setup (K: 120; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.928
setup (K: 150; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.920
setup (K: 120; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.928
setup (K: 120; C: 16.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.928
setup (K: 120; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.926
setup (K: 120; C: 16.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.926
setup (K: 120; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.923
setup (K: 120; C: 16.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.103
setup (K: 120; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.916
setup (K: 120; C: 16.000; fold: 10; ell: 64.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.923
setup (K: 120; C: 16.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.958
setup (K: 120; C: 16.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.959
setup (K: 120; C: 16.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.951
setup (K: 120; C: 16.000; fold: 0; ell: 0.00; dual-opt: 1; alpha: 1; svm_alg: 2; maxIt: 10): accuracy 0.930
